epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,73.6,19.9,36.1,49.4,64.8,82.2,101.9,119.9,142.0,165.4,188.1,90.7,70.2,141.9,214.8,288.1,361.6,434.6,506.4,576.3,643.5,707.4,371.0
20,0.0037735360253530726,61.8,15.9,30.2,45.0,62.4,80.4,100.6,121.0,140.8,162.4,184.7,88.2,70.2,141.9,214.8,288.1,361.6,434.6,506.4,576.3,643.5,707.4,371.0
30,0.0022593554099256553,56.3,15.1,28.1,42.1,58.3,76.6,96.4,116.3,137.0,158.6,180.5,84.9,70.2,141.9,214.8,288.1,361.6,434.6,506.4,576.3,643.5,707.4,371.0
40,0.0013527595427905588,52.9,14.9,27.8,42.2,57.3,75.3,94.1,113.3,134.2,154.7,175.6,83.1,70.2,141.9,214.8,288.1,361.6,434.6,506.4,576.3,643.5,707.4,371.0
50,0.0008099471081759276,50.9,14.4,27.3,41.2,56.8,73.8,93.0,113.1,134.8,156.8,178.3,83.1,70.2,141.9,214.8,288.1,361.6,434.6,506.4,576.3,643.5,707.4,371.0
60,0.0004849452524942309,49.7,14.4,27.1,40.8,56.0,73.4,92.4,112.4,133.0,154.4,176.0,82.1,70.2,141.9,214.8,288.1,361.6,434.6,506.4,576.3,643.5,707.4,371.0
70,0.0002903546361765785,48.9,14.3,27.1,40.6,55.7,72.9,92.2,111.5,131.9,153.0,174.2,81.6,70.2,141.9,214.8,288.1,361.6,434.6,506.4,576.3,643.5,707.4,371.0
80,0.0001738460461580376,48.5,14.1,26.8,40.3,55.5,72.5,91.0,110.7,131.2,152.6,174.0,81.1,70.2,141.9,214.8,288.1,361.6,434.6,506.4,576.3,643.5,707.4,371.0
90,0.00010408804957535733,48.3,14.2,26.9,40.6,55.8,73.1,91.7,111.4,132.2,153.6,175.0,81.6,70.2,141.9,214.8,288.1,361.6,434.6,506.4,576.3,643.5,707.4,371.0
100,6.232136021404205e-05,48.2,14.1,26.7,40.1,55.2,72.2,90.8,110.3,130.7,152.0,173.5,80.8,70.2,141.9,214.8,288.1,361.6,434.6,506.4,576.3,643.5,707.4,371.0
