epoch,lr,training_error,valid_data_size,baseline,prediction
10,0.003874204890000002,9.3,30249,8.7,7.1
20,0.0013508517176729932,9.2,30249,8.7,7.0
30,0.000471012869724625,9.1,30249,8.7,7.0
40,0.00016423203268260683,9.1,30249,8.7,7.0
50,5.7264168970223595e-05,9.1,30249,8.7,7.0
