epoch,lr,training_error,valid_data_size,baseline,prediction
10,0.003874204890000002,8.7,32862,11.3,9.5
20,0.0013508517176729932,8.5,32862,11.3,9.5
30,0.000471012869724625,8.4,32862,11.3,9.5
40,0.00016423203268260683,8.4,32862,11.3,9.5
50,5.7264168970223595e-05,8.4,32862,11.3,9.5
