epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,71.9,16.5,33.4,50.2,68.7,87.1,107.0,129.3,152.2,172.6,194.0,94.7,60.2,121.1,182.1,243.3,304.8,366.6,427.8,487.3,543.5,595.2,313.4
20,0.0037735360253530726,61.1,15.6,31.1,46.9,63.3,80.4,99.0,118.5,139.7,160.4,181.6,87.7,60.2,121.1,182.1,243.3,304.8,366.6,427.8,487.3,543.5,595.2,313.4
30,0.0022593554099256553,55.4,15.0,29.9,45.5,61.7,79.2,98.1,118.4,138.8,159.4,180.3,86.7,60.2,121.1,182.1,243.3,304.8,366.6,427.8,487.3,543.5,595.2,313.4
40,0.0013527595427905588,52.2,15.1,29.3,44.5,60.4,77.8,96.4,116.2,137.3,158.9,180.3,85.6,60.2,121.1,182.1,243.3,304.8,366.6,427.8,487.3,543.5,595.2,313.4
50,0.0008099471081759276,50.1,14.9,29.3,44.4,60.6,77.7,96.3,116.2,137.1,158.0,179.1,85.4,60.2,121.1,182.1,243.3,304.8,366.6,427.8,487.3,543.5,595.2,313.4
60,0.0004849452524942309,49.0,14.5,28.9,44.1,60.5,77.9,96.7,116.9,138.0,159.1,180.1,85.7,60.2,121.1,182.1,243.3,304.8,366.6,427.8,487.3,543.5,595.2,313.4
70,0.0002903546361765785,48.3,14.4,28.8,44.0,59.9,76.8,95.2,115.2,136.0,157.3,178.5,84.7,60.2,121.1,182.1,243.3,304.8,366.6,427.8,487.3,543.5,595.2,313.4
80,0.0001738460461580376,47.8,14.3,28.7,43.8,60.0,77.2,95.7,115.7,136.6,157.9,178.9,84.9,60.2,121.1,182.1,243.3,304.8,366.6,427.8,487.3,543.5,595.2,313.4
90,0.00010408804957535733,47.6,14.3,28.6,43.7,59.7,76.8,95.2,115.1,135.8,157.0,178.1,84.5,60.2,121.1,182.1,243.3,304.8,366.6,427.8,487.3,543.5,595.2,313.4
100,6.232136021404205e-05,47.4,14.3,28.6,43.7,59.9,77.0,95.7,115.6,136.5,157.7,178.7,84.8,60.2,121.1,182.1,243.3,304.8,366.6,427.8,487.3,543.5,595.2,313.4
