epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,73.5,17.5,32.0,47.8,65.1,82.5,101.1,119.6,137.6,158.3,179.7,88.2,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
20,0.0037735360253530726,62.8,16.0,28.6,43.2,59.9,76.0,92.7,111.1,129.6,148.2,168.1,81.7,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
30,0.0022593554099256553,57.3,14.0,26.8,39.9,54.5,70.0,86.4,103.6,121.9,140.6,160.7,76.6,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
40,0.0013527595427905588,54.0,13.9,26.7,39.3,54.1,69.5,85.8,102.9,121.5,140.6,159.7,76.1,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
50,0.0008099471081759276,52.0,13.7,25.9,38.9,52.9,68.1,84.4,102.0,119.7,138.2,157.4,74.9,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
60,0.0004849452524942309,50.9,13.6,25.8,38.7,52.8,68.2,84.4,101.5,119.3,137.9,156.9,74.7,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
70,0.0002903546361765785,50.3,13.6,25.6,38.5,52.7,67.8,84.0,101.3,119.2,137.7,157.1,74.5,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
80,0.0001738460461580376,49.7,13.5,25.6,38.5,52.5,67.6,83.9,101.1,119.1,137.5,156.7,74.4,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
90,0.00010408804957535733,49.5,13.5,25.5,38.4,52.5,67.8,84.0,101.5,119.6,138.4,157.8,74.6,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
100,6.232136021404205e-05,49.3,13.5,25.5,38.3,52.3,67.5,83.6,100.9,118.9,137.6,156.8,74.2,67.9,137.7,208.9,280.8,352.9,424.4,494.4,562.0,626.5,687.0,361.4
