epoch,lr,training_error,valid_data_size,baseline,prediction
10,0.003874204890000002,9.0,17277,8.7,7.4
20,0.0013508517176729932,8.9,17277,8.7,7.3
30,0.000471012869724625,8.8,17277,8.7,7.3
40,0.00016423203268260683,8.8,17277,8.7,7.3
50,5.7264168970223595e-05,8.7,17277,8.7,7.3
