epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,73.0,13.9,27.2,39.5,51.7,66.1,80.9,96.9,114.4,132.8,152.4,72.6,61.9,125.9,191.3,257.9,325.4,393.2,460.3,525.7,588.1,646.3,336.1
20,0.0037735360253530726,62.8,12.8,24.7,36.7,49.2,62.7,77.2,91.8,107.3,125.1,143.6,68.4,61.9,125.9,191.3,257.9,325.4,393.2,460.3,525.7,588.1,646.3,336.1
30,0.0022593554099256553,57.3,12.0,23.7,35.2,47.8,60.9,76.3,92.7,109.4,127.3,145.8,68.3,61.9,125.9,191.3,257.9,325.4,393.2,460.3,525.7,588.1,646.3,336.1
40,0.0013527595427905588,54.2,12.6,23.6,34.8,47.2,60.9,76.7,92.1,107.9,125.4,143.5,67.8,61.9,125.9,191.3,257.9,325.4,393.2,460.3,525.7,588.1,646.3,336.1
50,0.0008099471081759276,52.3,12.1,23.7,35.0,47.6,61.6,76.7,93.1,110.3,129.0,147.8,68.8,61.9,125.9,191.3,257.9,325.4,393.2,460.3,525.7,588.1,646.3,336.1
60,0.0004849452524942309,51.0,11.5,22.1,33.2,45.1,58.5,73.0,88.2,104.3,121.6,140.2,65.1,61.9,125.9,191.3,257.9,325.4,393.2,460.3,525.7,588.1,646.3,336.1
70,0.0002903546361765785,50.3,11.5,22.1,33.2,45.1,58.3,72.7,87.9,104.0,121.5,140.3,65.0,61.9,125.9,191.3,257.9,325.4,393.2,460.3,525.7,588.1,646.3,336.1
80,0.0001738460461580376,49.9,11.5,22.2,33.4,45.5,59.2,74.0,89.7,106.0,123.8,142.5,66.1,61.9,125.9,191.3,257.9,325.4,393.2,460.3,525.7,588.1,646.3,336.1
90,0.00010408804957535733,49.7,11.5,22.0,33.1,45.1,58.7,73.4,88.9,105.4,122.8,141.4,65.5,61.9,125.9,191.3,257.9,325.4,393.2,460.3,525.7,588.1,646.3,336.1
100,6.232136021404205e-05,49.6,11.5,22.2,33.4,45.7,59.1,73.9,89.7,106.4,123.9,142.5,66.1,61.9,125.9,191.3,257.9,325.4,393.2,460.3,525.7,588.1,646.3,336.1
