epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.006302494097246091,73.0,16.6,30.2,42.3,55.4,69.6,84.7,100.4,116.6,133.2,150.8,75.0,62.0,124.6,187.4,250.2,312.6,374.1,434.0,491.8,546.7,598.4,318.3
20,0.0037735360253530726,62.8,14.2,26.3,39.0,52.0,65.6,80.1,95.1,110.6,126.5,142.9,70.6,62.0,124.6,187.4,250.2,312.6,374.1,434.0,491.8,546.7,598.4,318.3
30,0.0022593554099256553,57.2,13.1,25.0,37.2,50.2,64.2,78.4,94.3,110.4,127.4,145.3,69.8,62.0,124.6,187.4,250.2,312.6,374.1,434.0,491.8,546.7,598.4,318.3
40,0.0013527595427905588,54.1,12.7,24.5,36.6,49.2,62.7,77.2,92.7,108.9,126.0,143.4,68.7,62.0,124.6,187.4,250.2,312.6,374.1,434.0,491.8,546.7,598.4,318.3
50,0.0008099471081759276,52.3,12.7,24.3,36.3,49.0,62.6,77.3,92.8,108.9,125.8,142.9,68.5,62.0,124.6,187.4,250.2,312.6,374.1,434.0,491.8,546.7,598.4,318.3
60,0.0004849452524942309,51.2,12.5,24.0,35.8,48.3,61.8,76.4,92.2,108.5,125.7,143.1,68.1,62.0,124.6,187.4,250.2,312.6,374.1,434.0,491.8,546.7,598.4,318.3
70,0.0002903546361765785,50.5,12.4,23.9,35.7,48.3,61.7,76.0,91.5,107.7,124.7,142.0,67.6,62.0,124.6,187.4,250.2,312.6,374.1,434.0,491.8,546.7,598.4,318.3
80,0.0001738460461580376,50.1,12.5,24.0,36.1,48.6,62.1,76.5,92.0,108.3,125.3,142.6,68.1,62.0,124.6,187.4,250.2,312.6,374.1,434.0,491.8,546.7,598.4,318.3
90,0.00010408804957535733,49.9,12.4,24.0,35.8,48.4,61.7,76.1,91.5,107.6,124.5,141.7,67.6,62.0,124.6,187.4,250.2,312.6,374.1,434.0,491.8,546.7,598.4,318.3
100,6.232136021404205e-05,49.7,12.3,23.8,35.7,48.3,61.7,76.1,91.6,107.7,124.5,141.7,67.6,62.0,124.6,187.4,250.2,312.6,374.1,434.0,491.8,546.7,598.4,318.3
