epoch,lr,training_error,valid_data_size,baseline,prediction
10,0.003874204890000002,8.8,5889,11.4,10.4
20,0.0013508517176729932,8.6,5889,11.4,10.4
30,0.000471012869724625,8.5,5889,11.4,10.4
40,0.00016423203268260683,8.5,5889,11.4,10.4
50,5.7264168970223595e-05,8.5,5889,11.4,10.4
